all_gather
128	0.01	0.01	0.01	0.01
256	0.02	0.01	0.01	0.01
512	0.04	0.03	0.03	0.03
1024	0.08	0.05	0.05	0.05
2048	0.15	0.10	0.10	0.10
4096	0.20	0.21	0.21	0.20
8192	0.39	0.40	0.41	0.40
16384	0.84	0.82	0.84	0.82
32768	1.64	1.52	1.55	1.46
65536	2.68	2.33	2.46	2.31
131072	3.76	3.24	3.39	3.38
262144	4.76	3.99	4.11	4.19
524288	7.90	6.10	6.23	6.31
1048576	23.34	16.84	15.03	11.62
2097152	26.67	24.18	21.91	20.09
4194304	28.61	30.55	30.24	31.62
8388608	44.93	35.83	44.17	46.75
16777216	42.26	34.01	52.17	64.63
33554432	45.07	35.16	65.20	80.85
67108864	44.52	34.87	70.52	96.63
134217728	45.65	35.44	80.63	102.64
268435456	45.68	35.34	83.90	112.02
536870912	45.61	35.33	86.10	117.48
1073741824	45.57	35.35	87.92	120.41

reduce_scatter
